filename,mode,class,pred_class,max_proba,entropy
IMG_20180213_175502.jpg,train,0,0,0.944862,0.26801112
IMG_20180213_172638.jpg,train,3,3,0.99501985,0.039388772
IMG_20180213_172515.jpg,train,2,0,0.5139661,1.0002929
IMG_20180213_173804.jpg,train,1,1,0.98835176,0.07984619
IMG_20180213_175108.jpg,train,4,4,0.9408927,0.26851454
IMG_20180213_172557.jpg,train,3,3,0.9786801,0.12312942
IMG_20180213_174714.jpg,train,5,5,0.9849745,0.09730875
IMG_20180213_175505.jpg,train,0,0,0.62385577,0.8562198
IMG_20180213_174956.jpg,train,4,4,0.9411072,0.2932428
IMG_20180213_174927.jpg,train,0,0,0.9225996,0.328715
IMG_20180213_175941.jpg,train,2,2,0.90443885,0.44171363
IMG_20180213_173716.jpg,train,2,2,0.98889583,0.07379885
IMG_20180213_173726.jpg,train,2,2,0.99501973,0.03938889
IMG_20180213_172631.jpg,train,3,3,0.9950149,0.039422516
IMG_20180213_175626.jpg,train,4,4,0.9548379,0.24299258
IMG_20180213_180047.jpg,train,2,2,0.99051493,0.06611528
IMG_20180213_172734.jpg,train,3,3,0.9110322,0.34435734
IMG_20180213_172559.jpg,train,3,3,0.9927567,0.0542877
IMG_20180213_175703.jpg,train,2,2,0.9579355,0.19317788
IMG_20180213_172640.jpg,train,3,3,0.99501985,0.039388772
IMG_20180213_180008.jpg,train,0,0,0.78164065,0.7006463
IMG_20180213_172446.jpg,train,0,0,0.89280564,0.3778633
IMG_20180213_175039.jpg,train,4,4,0.9814528,0.11414952
IMG_20180213_173206.jpg,train,1,1,0.9481735,0.26149675
IMG_20180213_175246.jpg,train,0,0,0.9026762,0.42683756
IMG_20180213_172856.jpg,train,5,5,0.8000588,0.7341991
IMG_20180213_175301.jpg,train,4,4,0.7374175,0.77734315
IMG_20180213_175908.jpg,train,5,4,0.72738516,0.9623627
IMG_20180213_174651.jpg,train,2,2,0.99501973,0.03938889
IMG_20180213_174702.jpg,train,2,2,0.9940327,0.045828998
IMG_20180213_172501.jpg,train,0,2,0.94621223,0.24627815
IMG_20180213_175231.jpg,train,5,5,0.9835511,0.10686019
IMG_20180213_180013.jpg,train,0,0,0.65276366,0.94711006
IMG_20180213_173808.jpg,train,1,1,0.9787317,0.13204467
IMG_20180213_180052.jpg,train,0,0,0.80445105,0.6582488
IMG_20180213_173208.jpg,train,1,1,0.86900216,0.5063799
IMG_20180213_172438.jpg,train,0,0,0.55275387,1.0655818
IMG_20180213_172850.jpg,train,4,4,0.6498405,1.0475655
IMG_20180213_174931.jpg,train,0,0,0.9825767,0.10920451
IMG_20180213_173047.jpg,train,1,1,0.9301636,0.28296733
IMG_20180213_175839.jpg,train,0,0,0.9524682,0.24355227
IMG_20180213_173801.jpg,train,1,1,0.9262746,0.36866638
IMG_20180213_172808.jpg,train,0,0,0.9425042,0.28637552
IMG_20180213_174721.jpg,train,2,2,0.9739908,0.15485117
IMG_20180213_172755.jpg,train,0,0,0.9920058,0.057941217
IMG_20180213_172448.jpg,train,0,0,0.78552866,0.70416623
IMG_20180213_172933.jpg,train,5,5,0.8893765,0.38160762
IMG_20180213_172805.jpg,train,0,0,0.9899948,0.06962066
IMG_20180213_172624.jpg,train,3,3,0.99501985,0.039388772
IMG_20180213_173053.jpg,train,1,1,0.9631433,0.17882912
IMG_20180213_173724.jpg,train,2,2,0.99501973,0.03938889
IMG_20180213_172758.jpg,train,0,0,0.98686594,0.087678134
IMG_20180213_172935.jpg,train,5,5,0.73294884,0.92956215
IMG_20180213_175620.jpg,train,4,4,0.96750486,0.16848254
IMG_20180213_175951.jpg,train,0,0,0.91824704,0.39661735
IMG_20180213_173755.jpg,train,1,1,0.6865716,0.6882858
IMG_20180213_172648.jpg,train,3,3,0.99501985,0.039388772
IMG_20180213_173841.jpg,train,2,2,0.9950189,0.039395235
IMG_20180213_172441.jpg,train,0,0,0.9359818,0.28450334
IMG_20180213_175227.jpg,train,0,0,0.9267644,0.3664177
IMG_20180213_173705.jpg,train,1,1,0.95793545,0.21887875
IMG_20180213_174915.jpg,train,0,0,0.72021943,0.7864046
IMG_20180213_175653.jpg,train,2,2,0.9927996,0.053774014
IMG_20180213_174647.jpg,train,2,2,0.99501973,0.03938889
IMG_20180213_172813.jpg,train,0,0,0.38842362,1.4031018
IMG_20180213_173211.jpg,train,1,1,0.92759955,0.32627845
IMG_20180213_180004.jpg,train,0,0,0.7062193,0.8245883
IMG_20180213_173830.jpg,train,2,2,0.99351054,0.04901299
IMG_20180213_173653.jpg,train,1,1,0.99200547,0.05855857
IMG_20180213_175944.jpg,train,0,0,0.9847635,0.09316629
IMG_20180213_180001.jpg,train,0,0,0.69583124,0.7101625
IMG_20180213_175202.jpg,train,4,4,0.98924387,0.07575595
IMG_20180213_175137.jpg,train,4,4,0.9497926,0.2779672
IMG_20180213_173001.jpg,train,2,2,0.9354903,0.2926709
IMG_20180213_174654.jpg,train,2,2,0.99501973,0.03938889
IMG_20180213_175931.jpg,train,2,2,0.9950194,0.039391916
IMG_20180213_172606.jpg,train,3,3,0.9950175,0.039404497
IMG_20180213_174708.jpg,train,5,5,0.9902763,0.06922361
IMG_20180213_175113.jpg,train,4,4,0.98387605,0.105825536
IMG_20180213_175111.jpg,train,4,4,0.9479825,0.25890782
IMG_20180213_175238.jpg,train,5,5,0.8282445,0.5377478
IMG_20180213_180119.jpg,train,5,5,0.87213594,0.5295087
IMG_20180213_180021.jpg,train,5,5,0.96772665,0.17727606
IMG_20180213_175603.jpg,train,4,4,0.96594995,0.18363401
IMG_20180213_180124.jpg,train,0,0,0.8917803,0.4636969
IMG_20180213_175832.jpg,train,0,0,0.8984593,0.43732363
